id,sha256,bucket,model,iso,compression,width,height,size_bytes
ref-00001.nef,bf13671736c9259c1d0b4bdc246643234efbdec3d4abe4f824f8036f4ce030a8,z8,NIKON Z 8,64,High Efficiency,8280,5520,20260864
ref-00002.nef,ddf34d6c8c2b4cb4aac032d645498001c056733729e2f2558f4b0e73511f73a6,z8,NIKON Z 8,64,High Efficiency,8280,5520,20006912
ref-00003.nef,d0b6448c2cfcb75542779076f08dfee172a93f2328abd84c7382d9ba8dc64c55,z8,NIKON Z 8,2000,High Efficiency,8280,5520,22259200
ref-00004.nef,2645739ced6b3459ac0d47f07f4c37d8731d573c7be19bbf10dc9bcd6fd7fde6,z8,NIKON Z 8,2500,High Efficiency,8280,5520,22907392
ref-00005.nef,78a03b85c0f3d0f29f0a3e26798b48be8f8943686497164ac402180bd67af31d,z8,NIKON Z 8,1600,High Efficiency,8280,5520,22113280
ref-00006.nef,0327c1d70af60399bb1ea253d90620bc0d5a52436c14663befacfbdd4ab8e655,z8,NIKON Z 8,1800,High Efficiency,8280,5520,22125056
ref-00007.nef,ee0c7b3122fcf9cc1076af11c0f9601e341539ddb8ae581d81bb1bf8d88e368e,z8,NIKON Z 8,1600,High Efficiency,8280,5520,22270464
ref-00008.nef,cfd01cf48e7b534b7b50428bf1fce517a93186728ed949e6a919743d953b9dcc,z8,NIKON Z 8,800,High Efficiency,8280,5520,21191168
ref-00009.nef,0e76d2c1913ea3ea8e0b402d2ad288b1262979002c22ebe230a835c2c27ba68c,z8,NIKON Z 8,3200,High Efficiency,8280,5520,23382016
ref-00010.nef,46a21acb977b3926d90a2487d6b87d34594df12af6dd9c156590e5339f608a0e,z8,NIKON Z 8,2800,High Efficiency,8280,5520,22737408
ref-00011.nef,36418f6277ba1cbb62f0b665dd7cc78350f5b54fdb410ae33718776a9b2982ab,z8,NIKON Z 8,2200,High Efficiency,8280,5520,22962176
ref-00012.nef,9e26e62953854083c37dc0d7dee1f7c49f309fd0ace62485f6fb4575f99224f0,z8,NIKON Z 8,4000,High Efficiency,8280,5520,23097344
ref-00013.nef,5eb4542da75849cff07954bf999ba36cef8ba20dfa0a8ea097cd45af519a5734,z8,NIKON Z 8,2800,High Efficiency,8280,5520,23107072
ref-00014.nef,3b61bf6fcaf0c070a6a2e32ca0acb4f88244f85021afe37f1657b45a0c5d2bcc,z8,NIKON Z 8,3600,High Efficiency,8280,5520,23410176
ref-00015.nef,fa98e2a6b814f8a54cb2059e72bb010e48a417a911c26f02a50a238de524a859,z8,NIKON Z 8,2000,High Efficiency,8280,5520,22488064
ref-00016.nef,bc52225675610faf663eb12bdd7ab80f58251adb0b0acdaf6325799ee45f58da,z8,NIKON Z 8,1800,High Efficiency,8280,5520,22455808
ref-00017.nef,aa35f4cfa33c9b48750e9a985d143d65c236d457efbdb019ada0cd32e36dcf08,z8,NIKON Z 8,2000,High Efficiency,8280,5520,22352384
